food_stores2
STORE_TYPE;STORE_NAME;ADDRESS_LINE1;CITY;STATE;ZIP;longitude;latitude;NBHD_NAME
Dollar Store;Dollar Tree;5190 Federal Blvd;Denver;CO;80221;-105.024782;39.790432;Chaffee Park
Dollar Store;Dollars City;4855 Pecos St;Denver;CO;80221;-105.007082;39.784801;Chaffee Park
Small Grocery Store;Leever's / Save A Lot;4860 Pecos St;Denver;CO;80221;-105.005719;39.784969;Chaffee Park
Convenience Store;7-Eleven;3810 N FEDERAL BLVD;Denver;CO;;-105.024892;39.769585;Sunnyside
Convenience Store;For Every Day Store;4595 Pecos St;Denver;CO;80211;-105.006843;39.779893;Sunnyside
Convenience Store;Friendly Market;1700 W 40th Ave;Denver;CO;80211;-105.006628;39.771625;Sunnyside
Convenience Store;Sunnyside Drug;4600 N LIPAN ST;Denver;CO;;-105.001499;39.780398;Sunnyside
Convenience Store With Gas;7-Eleven;1301 W 38TH AVE;Denver;CO;;-105.00218;39.769714;Sunnyside
Convenience Store With Gas;7-Eleven;1595 W 47TH AVE;Denver;CO;;-105.00594;39.782336;Sunnyside
Small Grocery Store;Tejon Market;4385 Tejon St;Denver;CO;80211;-105.011573;39.776362;Sunnyside
Specialty Food Store;Canino's Sausage Co Inc;4414 Jason St;Denver;CO;80211;-104.999019;39.776901;Sunnyside
Closed Specialty Food Store;Sunnyside Market;4401 Tejon St;Denver;CO;80211;-105.011508;39.776794;Sunnyside
Convenience Store;Salwan Market;2215 W 32nd Ave;Denver;CO;80211;-105.01316;39.762273;Highland
Convenience Store With Gas;7-Eleven;2500 W 38TH AVE;Denver;CO;;-105.017813;39.769035;Highland
Convenience Store With Gas;Conoco;2727 N ZUNI ST;Denver;CO;;-105.016183;39.756716;Highland
Small Grocery Store;Leever's / Save A Lot;2630 W 38th Ave;Denver;CO;80211;-105.019624;39.768842;Highland
Small Grocery Store;Variety Supermarket;3500 Mariposa St;Denver;CO;80211;-105.002814;39.765758;Highland
Specialty Food Store;Rosales Bakery;2636 W 32ND AVE;Denver;CO;;-105.019742;39.761908;Highland
Specialty Food Store;Savory Spice Shop;1537 Platte St;Denver;CO;80202;-105.008749;39.757215;Highland
Convenience Store With Gas;Safeway Fuel;2995 W 26TH AVE;Denver;CO;;-105.024379;39.755437;Jefferson Park
Convenience Store With Gas;Speer Phillips 66;2757 N SPEER BLVD;Denver;CO;;-105.016296;39.756252;Jefferson Park
Supermarket;Safeway;2660 Federal Blvd;Denver;CO;80211;-105.024379;39.755435;Jefferson Park
Convenience Store;Marwa Market;4330 W COLFAX AVE;Denver;CO;;-105.043181;39.740069;West Colfax
Pharmacy;Walgreen;5151 W COLFAX AVE;Denver;CO;;-105.052642;39.740784;West Colfax
Convenience Store;7-Eleven;3190 W 38TH AVE;Denver;CO;;-105.029658;39.769135;West Highland
Convenience Store With Gas;Circle K;3600 W 38TH AVE;Denver;CO;;-105.034976;39.769285;West Highland
Convenience Store With Gas;Conoco;4380 W 38TH AVE;Denver;CO;;-105.043706;39.76913;West Highland
Dollar Store;Family Dollar;3125 Federal Blvd;Denver;CO;80211;-105.025716;39.761347;West Highland
Pharmacy;Botanica Yemaya;3773 Federal Blvd;Denver;CO;80211;-105.025664;39.768971;West Highland
Pharmacy;Walgreen;2975 N FEDERAL BLVD;Denver;CO;;-105.025685;39.760088;West Highland
Specialty Food Store;Gluten Free Goods;2990 Vrain St;Denver;CO;80212;-105.046167;39.760044;West Highland
Specialty Food Store;Happy Cakes;3434 W 32ND AVE;Denver;CO;;-105.033132;39.761888;West Highland
Specialty Food Store;Seafood Landing;3457 W 32nd Ave;Denver;CO;80211;-105.03384;39.762365;West Highland
